,Total_Repayments__c,,,Amount,,
,count,min,max,count,min,max
Cluster_result,,,,,,
509,5,4,4,5,2600,2600
510,5,6,6,5,2600,2600
511,15,12,12,15,1600,1600
512,21,4,4,21,1350,1350
513,34,6,6,34,1800,1800
514,80,18,18,80,5000,5000
515,20,4,4,20,2100,2100
516,23,16,16,23,2250,2250
517,18,11,11,18,450,450
518,6,11,11,6,2100,2100
519,69,14,14,69,1150,1150
520,11,8,8,11,3800,3800
521,38,12,12,38,800,800
522,10,3,3,10,1650,1650
523,17,6,6,17,2200,2200
524,9,8,8,9,4400,4400
525,9,13,13,9,750,750
526,15,12,12,15,2300,2300
527,34,10,10,34,1850,1850
528,36,14,14,36,1850,1850
529,27,12,12,27,750,750
530,23,1,1,23,650,650
531,62,1,1,62,700,700
532,95,1,1,95,800,800
533,27,9,9,27,3500,3500
534,33,16,16,33,4950,4950
535,15,19,19,15,5000,5000
536,11,9,9,11,750,750
537,10,8,8,10,950,950
538,12,6,6,12,1350,1350
539,7,16,16,7,4100,4100
540,19,16,16,19,4600,4600
541,9,16,16,9,4700,4700
542,33,12,12,33,3500,3500
543,114,12,12,114,4000,4000
544,52,4,4,52,1250,1250
545,13,3,3,13,1350,1350
546,8,4,4,8,1650,1650
547,14,3,3,14,2400,2400
548,31,2,2,31,850,850
549,17,3,3,17,2100,2100
550,77,9,9,77,3000,3000
551,10,11,11,10,3500,3500
552,9,12,12,9,3800,3800
553,12,13,13,12,4500,4500
554,37,7,7,37,1650,1650
555,53,13,13,53,1000,1000
556,19,8,8,19,1300,1300
557,11,8,8,11,1400,1400
558,224,12,12,224,500,500
559,19,14,14,19,2200,2200
560,8,8,8,8,2350,2350
561,33,8,8,33,2400,2400
562,11,11,11,11,5000,5000
563,7,13,13,7,1300,1300
564,7,9,9,7,1250,1250
565,5,8,8,5,1950,1950
566,16,18,18,16,2250,2250
567,21,26,26,21,2100,2100
568,60,10,10,60,1150,1150
569,12,2,2,12,1250,1250
570,6,1,1,6,1900,1900
571,67,3,3,67,1250,1250
572,5,3,3,5,3100,3100
573,26,12,12,26,700,700
574,22,14,14,22,5000,5000
575,5,9,9,5,1750,1750
576,8,4,4,8,3800,3800
577,5,8,8,5,3450,3450
578,10,16,16,10,800,800
579,5,9,9,5,2250,2250
580,9,3,3,9,1750,1750
581,7,13,13,7,600,600
582,24,12,12,24,1800,1800
583,7,8,8,7,3200,3200
584,7,7,7,7,3400,3400
585,27,12,12,27,300,300
586,12,14,14,12,2800,2800
587,14,12,12,14,1300,1300
588,41,6,6,41,1300,1300
589,9,27,27,9,2050,2050
590,40,20,20,40,2500,2500
591,37,1,1,37,900,900
592,7,1,1,7,1800,1800
593,53,1,1,53,350,350
594,30,1,1,30,450,450
595,10,2,2,10,1800,1800
596,7,10,10,7,3250,3250
597,29,16,16,29,4500,4500
598,15,7,7,15,2400,2400
599,23,1,1,23,550,550
600,6,1,1,6,950,950
601,6,13,13,6,350,350
602,44,5,5,44,1550,1550
603,23,9,9,23,1500,1500
604,24,8,8,24,1250,1250
605,17,11,11,17,2500,2500
606,17,8,8,17,2950,2950
607,12,12,12,12,1850,1850
608,12,6,6,12,1950,1950
609,5,14,14,5,2600,2600
610,12,8,8,12,1800,1800
611,34,26,26,34,5000,5000
612,27,1,1,27,750,750
613,6,1,1,6,1100,1100
614,8,14,14,8,4200,4200
615,24,21,21,24,2050,2050
616,24,12,12,24,900,900
617,5,7,7,5,3800,3800
618,7,9,9,7,600,600
619,5,6,6,5,3800,3800
620,5,10,10,5,2550,2550
621,10,16,16,10,3600,3600
622,13,16,16,13,4200,4200
623,5,17,17,5,500,500
624,34,8,8,34,4600,4600
625,18,16,16,18,450,450
626,14,20,20,14,2200,2200
627,7,12,12,7,2200,2200
628,17,9,9,17,2200,2200
629,6,11,11,6,200,200
630,40,16,16,40,500,500
631,37,11,11,37,1500,1500
632,6,18,18,6,2000,2000
633,26,4,4,26,1900,1900
634,11,16,16,11,3200,3200
635,7,10,10,7,2350,2350
636,6,12,12,6,2600,2600
637,26,14,14,26,1650,1650
638,10,16,16,10,2150,2150
639,10,18,18,10,2200,2200
640,13,1,1,13,1600,1600
641,7,16,16,7,1900,1900
642,7,1,1,7,1250,1250
643,9,2,2,9,2500,2500
644,12,4,4,12,4500,4500
645,37,12,12,37,1200,1200
646,11,2,2,11,1050,1050
647,23,8,8,23,2750,2750
648,7,6,6,7,2300,2300
649,22,11,11,22,2000,2000
650,8,2,2,8,1450,1450
651,15,4,4,15,2300,2300
652,11,24,24,11,1000,1000
653,22,11,11,22,300,300
654,6,24,24,6,1200,1200
655,56,10,10,56,1450,1450
656,5,4,4,5,2250,2250
657,12,7,7,12,2300,2300
658,27,11,11,27,4000,4000
659,7,5,5,7,3250,3250
660,9,3,3,9,1150,1150
661,9,15,15,9,2300,2300
662,7,12,12,7,1150,1150
663,32,28,28,32,2050,2050
664,13,18,18,13,2300,2300
665,37,13,13,37,2500,2500
666,11,4,4,11,1750,1750
667,10,4,4,10,1050,1050
668,12,14,14,12,2400,2400
669,5,16,16,5,2750,2750
670,7,3,3,7,3200,3200
671,8,10,10,8,2750,2750
672,33,32,32,33,2050,2050
673,10,6,6,10,1150,1150
674,8,4,4,8,1550,1550
675,8,20,20,8,4500,4500
676,5,11,11,5,750,750
677,17,9,9,17,2100,2100
678,6,5,5,6,150,150
679,10,8,8,10,850,850
680,8,26,26,8,4000,4000
681,16,9,9,16,350,350
682,6,12,12,6,1100,1100
683,9,8,8,9,1100,1100
684,19,12,12,19,450,450
685,5,8,8,5,1450,1450
686,8,10,10,8,3400,3400
687,15,10,10,15,1950,1950
688,6,20,20,6,2250,2250
689,5,16,16,5,2700,2700
690,5,36,36,5,2750,2750
691,6,40,40,6,5000,5000
692,13,10,10,13,2250,2250
693,6,26,26,6,2200,2200
